Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City
Ontario-Montclair,355285,197112,0,552397,167573,719970,Montclair
Wheatland Union High,233539,10099,0,243639,342424,586063,Wheatland
Corona-Norco Unified,398979,57050,0,456029,80208,536238,Corona
College of the Desert,399006,60457,0,459463,66557,526020,Palm Desert
Sequoia Union High,192784,259544,0,452329,66560,518889,Redwood City
Stockton Unified,141625,338083,0,479708,38827,518535,Stockton
Fremont Union High,409914,7970,0,417884,91355,509239,Fremont
Elk Grove Unified,354818,34061,0,388879,115168,504047,Elk Grove
Beaumont Unified,185804,269653,0,455457,48482,503939,Beaumont
Twin Rivers Unified,364075,5266,0,369341,108961,478302,Riverbank
Cajon Valley Union,335055,57464,0,392519,68167,460686,El Cajon
Orange County Department of Education,364895,0,0,364895,85559,450454,Orange
Tustin Unified,359076,6995,0,366071,79354,445425,Tustin
Redondo Beach Unified,360328,2401,0,362729,80518,443247,Redondo Beach
Citrus College,351010,7020,0,358030,83943,441973,Citrus Heights
San Diego County Office of Education,344103,15954,0,360057,79743,439800,San Diego
San Leandro Unified,354061,25651,0,379712,59898,439611,San Leandro
Livermore Valley Joint Unified,339550,17009,0,356559,79355,435915,Livermore
Oakland Unified,327295,29633,0,356929,71554,428483,Oakland
Santa Barbara City College,318930,36500,0,355430,71764,427195,Santa Barbara
Fresno Unified,332377,18625,0,351002,75384,426386,Fresno
Santa Rosa Junior College,324017,17280,0,341297,80011,421308,Santa Rosa
Santa Clara County Office of Education,352827,26710,0,379537,41166,420703,Santa Clara
Mountain View-Los Altos Union High,306712,40108,0,346821,71946,418768,Los Altos
Irvine Unified,351386,3490,0,354876,62902,417778,Irvine
Long Beach City College,76511,318639,0,395150,22070,417220,Long Beach
Walnut Valley Unified,323494,13049,0,336543,78868,415412,Walnut
Bakersfield City,289388,49941,0,339329,75496,414825,Bakersfield
Placentia-Yorba Linda Unified,334839,0,0,334839,78263,413102,Placentia
Los Angeles County Office of Education,336349,18553,0,354902,57004,411906,Los Angeles
West Covina Unified,313135,17210,0,330345,79960,410305,Covina
Rialto Unified,283397,64180,0,347577,60074,407651,Rialto
Arcadia Unified,308403,43200,0,351603,53255,404858,Arcadia
Orange Unified,320606,12542,0,333148,69470,402618,Orange
Downey Unified,297515,23844,0,321359,78550,399909,Downey
Glendale Unified,310000,18500,0,328500,70866,399366,Glendale
Lake Elsinore Unified,271341,59525,0,330866,66866,397732,Lake Elsinore
Sacramento City Unified,314392,0,0,314392,81599,395992,Sacramento
Claremont Unified,316929,0,0,316929,76966,393895,Claremont
Whittier Union High,292924,3228,0,296153,95792,391945,Whittier
Huntington Beach Union High,314885,2000,0,316885,75046,391931,Huntington Beach
Palo Alto Unified,313635,0,0,313635,78241,391876,Palo Alto
Santa Ana Unified,322245,14570,0,336815,54307,391122,Santa Ana
Pasadena Unified,270962,21500,0,292463,98448,390911,Pasadena
Chula Vista Elementary,311680,13686,0,325366,60607,385973,Chula Vista
Poway Unified,312084,0,0,312084,73872,385956,Poway
Manteca Unified,284070,21000,0,305070,79922,384992,Manteca
Rio Hondo College,277750,21954,0,299704,82102,381807,Rio Dell
San Ramon Valley Unified,243990,82979,0,326969,53341,380310,San Ramon
San Mateo Union High,322400,4200,0,326600,53599,380199,San Mateo
Cerritos College,307894,19752,0,327646,51225,378871,Cerritos
San Francisco Unified,309999,0,0,309999,68711,378711,San Francisco
Culver City Unified,242310,77215,0,319525,59186,378711,Culver City
Pomona Unified,295991,8879,0,304870,71731,376602,Pomona
Chino Valley Unified,284792,35691,0,320483,56048,376531,Chino
Newport-Mesa Unified,292452,10200,0,302652,73047,375699,Costa Mesa
Napa Valley Unified,309833,17320,0,327154,47183,374337,Napa
Mountain View Whisman,305980,2000,0,307980,65863,373843,Mountain View
Union Elementary,304570,1800,0,306370,66570,372941,Union City
Pleasanton Unified,304179,14692,0,318872,53467,372339,Pleasanton
Baldwin Park Unified,281502,13200,0,294702,77622,372324,Baldwin Park
Las Lomitas Elementary,283185,19670,0,302855,68312,371168,Lomita
Compton Unified,271067,43090,0,314157,56884,371041,Compton
Covina-Valley Unified,273754,46465,0,320219,50119,370338,Covina
Garden Grove Unified,298016,2435,0,300451,69800,370251,Garden Grove
Santa Clara Unified,277750,20287,0,298037,71043,369080,Santa Clara
